run,split,seed_index,connection,household,settlement_chf
export_30kw_0.05,validation,5,11,pv_battery,15.497942924499512
export_30kw_0.05,validation,5,12,large_flex,33.18879699707031
export_30kw_0.05,validation,5,13,large_flex,36.71749496459961
export_30kw_0.05,validation,5,14,large_flex,10.557218551635742
export_30kw_0.05,validation,5,15,pv_battery,23.01529884338379
export_30kw_0.05,validation,5,16,pv_battery,53.03237533569336
export_30kw_0.05,validation,5,17,large_flex,45.513275146484375
export_30kw_0.05,validation,6,0,tenant,-5.440001010894775
export_30kw_0.05,validation,6,1,tenant,-5.118288516998291
export_30kw_0.05,validation,6,2,tenant,-4.212794303894043
export_30kw_0.05,validation,6,3,tenant,-5.115289211273193
export_30kw_0.05,validation,6,4,tenant,-4.552084922790527
export_30kw_0.05,validation,6,5,tenant,-4.701902866363525
export_30kw_0.05,validation,6,6,pv_only,4.363188743591309
export_30kw_0.05,validation,6,7,pv_battery,39.43660354614258
export_30kw_0.05,validation,6,8,pv_battery,35.78467559814453
export_30kw_0.05,validation,6,9,pv_battery,46.928375244140625
export_30kw_0.05,validation,6,10,pv_only,20.478172302246094
export_30kw_0.05,validation,6,11,pv_battery,41.32864761352539
export_30kw_0.05,validation,6,12,large_flex,46.66473388671875
export_30kw_0.05,validation,6,13,large_flex,34.37148666381836
export_30kw_0.05,validation,6,14,large_flex,57.444217681884766
export_30kw_0.05,validation,6,15,pv_battery,46.95655059814453
export_30kw_0.05,validation,6,16,pv_battery,54.26780319213867
export_30kw_0.05,validation,6,17,large_flex,43.76393508911133
export_30kw_0.05,validation,7,0,tenant,-9.4900541305542
export_30kw_0.05,validation,7,1,tenant,-11.343916893005371
export_30kw_0.05,validation,7,2,tenant,-8.954042434692383
export_30kw_0.05,validation,7,3,tenant,-8.830755233764648
export_30kw_0.05,validation,7,4,tenant,-11.74468994140625
export_30kw_0.05,validation,7,5,tenant,-10.160040855407715
export_30kw_0.05,validation,7,6,pv_only,0.2063007950782776
export_30kw_0.05,validation,7,7,pv_battery,-1.0518734455108643
export_30kw_0.05,validation,7,8,pv_battery,44.64512252807617
export_30kw_0.05,validation,7,9,pv_battery,60.86304473876953
export_30kw_0.05,validation,7,10,pv_only,8.841142654418945
export_30kw_0.05,validation,7,11,pv_battery,26.238788604736328
export_30kw_0.05,validation,7,12,large_flex,24.678592681884766
export_30kw_0.05,validation,7,13,large_flex,1.4623093605041504
export_30kw_0.05,validation,7,14,large_flex,56.36467361450195
export_30kw_0.05,validation,7,15,pv_battery,49.769874572753906
export_30kw_0.05,validation,7,16,pv_battery,47.40580368041992
export_30kw_0.05,validation,7,17,large_flex,1.3344831466674805
export_30kw_0.15,validation,0,0,tenant,-7.762463092803955
export_30kw_0.15,validation,0,1,tenant,-8.117958068847656
export_30kw_0.15,validation,0,2,tenant,-8.876842498779297
export_30kw_0.15,validation,0,3,tenant,-5.50636100769043
export_30kw_0.15,validation,0,4,tenant,-7.699760913848877
export_30kw_0.15,validation,0,5,tenant,-7.999152660369873
export_30kw_0.15,validation,0,6,pv_only,2.674100160598755
export_30kw_0.15,validation,0,7,pv_battery,23.652587890625
export_30kw_0.15,validation,0,8,pv_battery,33.83584976196289
export_30kw_0.15,validation,0,9,pv_battery,39.83628463745117
export_30kw_0.15,validation,0,10,pv_only,-2.667985439300537
export_30kw_0.15,validation,0,11,pv_battery,35.78639221191406
export_30kw_0.15,validation,0,12,large_flex,-13.5200777053833
export_30kw_0.15,validation,0,13,large_flex,32.48453140258789
export_30kw_0.15,validation,0,14,large_flex,33.12032699584961
export_30kw_0.15,validation,0,15,pv_battery,29.13793182373047
export_30kw_0.15,validation,0,16,pv_battery,38.2370719909668
export_30kw_0.15,validation,0,17,large_flex,12.301291465759277
export_30kw_0.15,validation,1,0,tenant,-7.84230375289917
export_30kw_0.15,validation,1,1,tenant,-9.48872184753418
export_30kw_0.15,validation,1,2,tenant,-7.658298969268799
export_30kw_0.15,validation,1,3,tenant,-8.769903182983398
export_30kw_0.15,validation,1,4,tenant,-8.32217025756836
export_30kw_0.15,validation,1,5,tenant,-6.554964065551758
export_30kw_0.15,validation,1,6,pv_only,29.267669677734375
export_30kw_0.15,validation,1,7,pv_battery,10.0814208984375
export_30kw_0.15,validation,1,8,pv_battery,9.252944946289062
